score,target,layer_id,scale,level,days,sample_count,mean_rank_ic,mean_spread,positive_day_rate
daily_consensus_score,target_5m_mean_proxy,8,30m,B35,20,4446715,0.011252080407824588,0.00010976405,0.85
daily_consensus_score,target_5m_mean_proxy,6,15m,B50,20,4608588,0.01076786151988531,0.000109897286,0.75
daily_consensus_score,target_5m_mean_proxy,6,15m,B35,20,4613544,0.010769341673958661,0.000110022374,0.75
daily_consensus_score,target_5m_mean_proxy,6,30m,B50,20,4278464,0.011070371448405909,0.000109220375,0.85
daily_consensus_score,target_5m_mean_proxy,6,30m,B35,20,4279465,0.011085000546746434,0.00010926267,0.85
daily_consensus_score,target_5m_mean_proxy,3,15m,B50,20,4238713,0.00998278794234522,9.74779e-05,0.85
daily_consensus_score,target_5m_mean_proxy,3,15m,B35,20,4245379,0.010002416324875061,9.7564014e-05,0.85
daily_consensus_score,target_5m_mean_proxy,3,30m,B50,20,3305678,0.010074477548027126,8.842744e-05,0.85
daily_consensus_score,target_5m_mean_proxy,3,30m,B35,20,3314538,0.010073008454632241,8.863186e-05,0.9
daily_consensus_score,target_5m_mean_proxy,11,15m,B50,20,3041193,0.010765908085608938,0.000100465666,0.75
daily_consensus_score,target_5m_mean_proxy,11,15m,B35,20,3070447,0.010830249986439073,0.00010185698,0.8
daily_consensus_score,target_5m_mean_proxy,11,30m,B50,20,3160070,0.010251642208622265,0.00010257112,0.7
daily_consensus_score,target_5m_mean_proxy,11,30m,B35,20,3162274,0.010236468451348199,0.00010239826,0.7
daily_consensus_score,target_15m_mean_proxy,9,15m,B50,20,3582376,0.0012307960736065052,6.692768e-05,0.55
daily_consensus_score,target_15m_mean_proxy,9,15m,B35,20,3657932,0.0012938418911196561,6.6754954e-05,0.55
daily_consensus_score,target_15m_mean_proxy,9,30m,B50,20,4520516,0.004410717907187776,0.000104143306,0.55
daily_consensus_score,target_15m_mean_proxy,9,30m,B35,20,4522647,0.004430832461792473,0.00010457084,0.55
daily_consensus_score,target_15m_mean_proxy,8,15m,B50,20,4444763,0.003241434776814089,9.532389e-05,0.55
daily_consensus_score,target_15m_mean_proxy,8,15m,B35,20,4452291,0.0032261616085353184,9.585286e-05,0.55
daily_consensus_score,target_15m_mean_proxy,8,30m,B50,20,4310971,0.0048348889641749914,0.00010987245,0.55
daily_consensus_score,target_15m_mean_proxy,8,30m,B35,20,4313863,0.004824845148978366,0.000109908244,0.55
daily_consensus_score,target_15m_mean_proxy,6,15m,B50,20,4473393,0.002433920188807637,9.968473e-05,0.55
daily_consensus_score,target_15m_mean_proxy,6,15m,B35,20,4478368,0.0024307150516034324,9.985303e-05,0.55
daily_consensus_score,target_15m_mean_proxy,6,30m,B50,20,4152220,0.004260219035266338,0.00010967489,0.65
daily_consensus_score,target_15m_mean_proxy,6,30m,B35,20,4153218,0.004265118440802809,0.00010972583,0.65
daily_consensus_score,target_15m_mean_proxy,3,15m,B50,20,4103258,0.003412772790697739,8.6562664e-05,0.6
daily_consensus_score,target_15m_mean_proxy,3,15m,B35,20,4109932,0.003392913904161833,8.696971e-05,0.6
daily_consensus_score,target_15m_mean_proxy,3,30m,B50,20,3195658,0.0007719266318256181,3.364108e-05,0.4
daily_consensus_score,target_15m_mean_proxy,3,30m,B35,20,3204482,0.0009448268144873057,3.6907546e-05,0.4
daily_consensus_score,target_15m_mean_proxy,11,15m,B50,20,2943126,0.00336428186968437,0.0001115988,0.55
daily_consensus_score,target_15m_mean_proxy,11,15m,B35,20,2971622,0.003441926305888049,0.00011390591,0.55
